MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001070	-50.480953
0.001071	-50.475040
0.001071	-50.466639
0.001072	-50.455632
0.001073	-50.442087
0.001074	-50.426191
0.001074	-50.408089
0.001075	-50.388157
0.001076	-50.366612
0.001077	-50.343543
0.001078	-50.319233
0.001079	-50.294030
0.001081	-50.267909
0.001082	-50.241311
0.001083	-50.214710
0.001084	-50.188671
0.001085	-50.163476
0.001086	-50.139335
0.001087	-50.116327
0.001088	-50.094826
0.001089	-50.075244
0.001090	-50.057634
0.001091	-50.041960
0.001092	-50.028043
0.001093	-50.015928
0.001094	-50.005487
0.001095	-49.996775
0.001095	-49.989823
0.001096	-49.984911
0.001097	-49.981938
0.001097	-49.981104
0.001097	-49.982091
0.001098	-49.984499
Mean R	Std.Dev R
0.001080	8.656019E-6
Mean T	Std.Dev T
-50.204497	0.142953
Current Position 
69.940
R(V)	Theta
0.001082	-50.205416
0.001082	-50.204933
0.001082	-50.203585
0.001082	-50.201335
0.001082	-50.198347
0.001082	-50.194756
0.001082	-50.194756
0.001082	-50.186118
0.001082	-50.181796
0.001082	-50.177236
0.001082	-50.172166
0.001082	-50.166829
0.001082	-50.161217
0.001082	-50.155040
0.001082	-50.148161
0.001082	-50.140558
0.001082	-50.132303
0.001083	-50.123908
0.001083	-50.115440
0.001083	-50.107354
0.001083	-50.099721
0.001084	-50.092657
0.001084	-50.085979
0.001084	-50.079756
0.001085	-50.074222
0.001085	-50.069494
0.001085	-50.065758
0.001086	-50.063176
0.001086	-50.061968
0.001086	-50.062215
0.001086	-50.063937
0.001086	-50.066903
0.001086	-50.071025
0.001086	-50.076163
0.001086	-50.082170
0.001086	-50.088972
0.001086	-50.096627
0.001086	-50.104978
0.001086	-50.113980
0.001085	-50.123674
0.001085	-50.133958
0.001085	-50.144525
0.001085	-50.155154
0.001084	-50.165526
0.001084	-50.175287
0.001084	-50.184631
0.001083	-50.193696
0.001083	-50.202017
0.001083	-50.209531
0.001082	-50.215866
0.001082	-50.220594
0.001082	-50.223383
0.001081	-50.224013
0.001081	-50.222228
0.001081	-50.218013
0.001081	-50.211653
0.001081	-50.203340
0.001080	-50.193080
0.001080	-50.180830
0.001080	-50.167152
0.001080	-50.152075
0.001080	-50.135967
0.001080	-50.119234
0.001080	-50.102065
0.001080	-50.084865
0.001080	-50.067954
0.001080	-50.051693
0.001080	-50.036197
0.001081	-50.021345
0.001081	-50.007202
0.001081	-49.993941
0.001081	-49.981658
0.001081	-49.970580
0.001081	-49.960980
0.001081	-49.952674
0.001081	-49.945621
0.001081	-49.940102
0.001081	-49.935871
0.001081	-49.932820
0.001081	-49.930744
0.001081	-49.929533
0.001081	-49.929326
0.001081	-49.930330
0.001081	-49.932501
0.001081	-49.935749
0.001081	-49.940033
0.001081	-49.945230
0.001081	-49.951150
0.001081	-49.957581
0.001081	-49.964214
0.001081	-49.970685
0.001080	-49.976480
0.001080	-49.981737
0.001080	-49.986705
0.001080	-49.991639
0.001080	-49.996451
0.001080	-50.001195
0.001080	-50.006189
0.001080	-50.011301
0.001080	-50.016405
Mean R	Std.Dev R
0.001082	2.009801E-6
Mean T	Std.Dev T
-50.085371	0.095301
Current Position 
69.925
R(V)	Theta
0.001065	-50.184050
0.001065	-50.196001
0.001064	-50.201659
0.001064	-50.207153
0.001064	-50.212327
0.001063	-50.216785
0.001063	-50.220696
0.001063	-50.224174
0.001063	-50.227032
0.001062	-50.229177
0.001062	-50.230335
0.001062	-50.230756
0.001062	-50.231226
0.001062	-50.232100
0.001062	-50.233459
0.001062	-50.235119
0.001061	-50.236959
0.001061	-50.239113
0.001061	-50.241371
0.001061	-50.243769
0.001061	-50.246292
0.001061	-50.248840
0.001061	-50.251347
0.001062	-50.253891
0.001062	-50.256409
0.001062	-50.258928
0.001062	-50.261585
0.001062	-50.264368
0.001063	-50.267512
0.001063	-50.271003
0.001063	-50.274466
0.001064	-50.277934
0.001064	-50.281419
0.001064	-50.285004
0.001065	-50.288948
0.001065	-50.293041
0.001065	-50.297194
0.001066	-50.301536
0.001066	-50.306041
0.001066	-50.310625
0.001067	-50.315418
0.001067	-50.320834
0.001067	-50.326654
0.001067	-50.332505
0.001067	-50.338395
0.001067	-50.344328
0.001067	-50.349925
0.001067	-50.354796
0.001067	-50.358739
0.001066	-50.361642
0.001066	-50.363236
0.001066	-50.363297
0.001065	-50.361627
0.001065	-50.357879
0.001065	-50.351845
0.001064	-50.343634
0.001064	-50.333069
0.001064	-50.320579
0.001063	-50.305995
0.001063	-50.289321
0.001062	-50.270765
0.001062	-50.250642
0.001062	-50.229154
0.001061	-50.206421
0.001061	-50.182853
0.001061	-50.158951
0.001061	-50.134811
0.001060	-50.110629
0.001060	-50.086562
0.001060	-50.062969
0.001060	-50.039964
0.001060	-50.017664
0.001060	-49.996183
0.001060	-49.975745
0.001060	-49.956418
0.001060	-49.938268
0.001060	-49.921375
0.001060	-49.906006
0.001061	-49.892419
0.001061	-49.880551
0.001061	-49.870458
0.001061	-49.862289
0.001061	-49.855843
0.001061	-49.850842
0.001061	-49.847378
0.001061	-49.845554
0.001061	-49.845173
0.001061	-49.846004
0.001061	-49.847706
0.001061	-49.850399
0.001061	-49.854213
0.001061	-49.858920
0.001061	-49.864369
0.001061	-49.870221
0.001061	-49.875987
0.001061	-49.881649
0.001061	-49.887427
0.001061	-49.893744
0.001061	-49.900927
0.001062	-49.909223
Mean R	Std.Dev R
0.001063	2.133795E-6
Mean T	Std.Dev T
-50.153000	0.181095
Current Position 
69.910
R(V)	Theta
0.001086	-50.015708
0.001087	-50.023103
0.001087	-50.031024
0.001087	-50.039312
0.001088	-50.047987
0.001088	-50.057144
0.001089	-50.066738
0.001089	-50.076780
0.001089	-50.087567
0.001090	-50.098622
0.001090	-50.109870
0.001090	-50.121240
0.001090	-50.132412
0.001091	-50.143038
0.001091	-50.153017
0.001091	-50.162331
0.001091	-50.170745
0.001091	-50.178245
0.001091	-50.184786
0.001091	-50.190042
0.001092	-50.193869
0.001092	-50.196774
0.001092	-50.199007
0.001092	-50.200355
0.001092	-50.200631
0.001092	-50.199720
0.001092	-50.197556
0.001092	-50.194104
0.001092	-50.189473
0.001092	-50.183847
0.001092	-50.177115
0.001092	-50.169389
0.001092	-50.160801
0.001092	-50.151357
0.001092	-50.141319
0.001092	-50.131057
0.001093	-50.120783
0.001093	-50.110509
0.001093	-50.100809
0.001093	-50.091737
0.001093	-50.083324
0.001094	-50.075749
0.001094	-50.069047
0.001094	-50.063077
0.001094	-50.057743
0.001095	-50.053114
0.001095	-50.049504
0.001095	-50.046897
0.001095	-50.045223
0.001096	-50.044382
0.001096	-50.044475
0.001096	-50.045545
0.001097	-50.047474
0.001097	-50.050135
0.001097	-50.053428
0.001098	-50.057262
0.001098	-50.061422
0.001098	-50.065621
0.001099	-50.069740
0.001099	-50.073880
0.001099	-50.078136
0.001100	-50.082336
0.001100	-50.086078
0.001101	-50.089432
0.001101	-50.092217
0.001101	-50.094511
0.001102	-50.096567
0.001102	-50.098514
0.001103	-50.100401
0.001103	-50.102391
0.001103	-50.104657
0.001104	-50.107374
0.001104	-50.110492
0.001105	-50.113982
0.001105	-50.117915
0.001105	-50.122252
0.001106	-50.126784
0.001106	-50.131411
0.001106	-50.136285
0.001106	-50.141359
0.001107	-50.146488
0.001107	-50.151453
0.001107	-50.155968
0.001107	-50.159890
0.001107	-50.162981
0.001107	-50.164864
0.001107	-50.166006
0.001107	-50.166617
0.001107	-50.166623
0.001107	-50.165932
0.001107	-50.164829
0.001106	-50.163798
0.001106	-50.162913
0.001106	-50.161854
0.001106	-50.160437
0.001105	-50.158229
0.001105	-50.155054
0.001105	-50.151042
0.001104	-50.146254
0.001104	-50.140729
Mean R	Std.Dev R
0.001097	6.624294E-6
Mean T	Std.Dev T
-50.118620	0.050926
Current Position 
69.895
R(V)	Theta
0.001058	-50.458086
0.001057	-50.449892
0.001056	-50.439976
0.001056	-50.428696
0.001055	-50.416398
0.001054	-50.403504
0.001053	-50.389756
0.001053	-50.374803
0.001052	-50.358874
0.001052	-50.342084
0.001052	-50.324422
0.001051	-50.305949
0.001051	-50.286748
0.001051	-50.266844
0.001051	-50.246349
0.001051	-50.225541
0.001051	-50.204772
0.001051	-50.184620
0.001051	-50.164730
0.001051	-50.145742
0.001051	-50.127554
0.001051	-50.110292
0.001051	-50.094137
0.001052	-50.079171
0.001052	-50.065411
0.001052	-50.052702
0.001053	-50.041036
0.001053	-50.030540
0.001054	-50.021409
0.001054	-50.013493
0.001055	-50.006772
0.001056	-50.001303
0.001056	-49.997323
0.001057	-49.994926
0.001058	-49.994149
0.001058	-49.994891
0.001059	-49.997148
0.001060	-50.000880
0.001060	-50.005971
0.001061	-50.011957
0.001062	-50.018908
0.001062	-50.026704
0.001063	-50.035472
0.001063	-50.044848
0.001063	-50.054836
0.001064	-50.065380
0.001064	-50.076446
0.001065	-50.088174
0.001065	-50.099963
0.001065	-50.111925
0.001066	-50.123791
0.001066	-50.135266
0.001066	-50.146161
0.001067	-50.156586
0.001067	-50.166581
0.001067	-50.175890
0.001067	-50.184482
0.001067	-50.192187
0.001067	-50.198819
0.001068	-50.204257
0.001068	-50.208592
0.001068	-50.211964
0.001068	-50.214198
0.001068	-50.215317
0.001068	-50.215414
0.001068	-50.214487
0.001068	-50.212618
0.001068	-50.210090
0.001068	-50.207111
0.001068	-50.203799
0.001068	-50.200344
0.001068	-50.196964
0.001068	-50.193788
0.001068	-50.190530
0.001068	-50.187092
0.001068	-50.183603
0.001068	-50.180322
0.001069	-50.177539
0.001069	-50.175165
0.001069	-50.173212
0.001069	-50.171835
0.001069	-50.171036
0.001070	-50.170940
0.001070	-50.171469
0.001070	-50.172578
0.001070	-50.174117
0.001070	-50.175997
0.001071	-50.178089
0.001071	-50.180179
0.001071	-50.182316
0.001071	-50.184656
0.001071	-50.187102
0.001072	-50.189627
0.001072	-50.192260
0.001072	-50.194968
0.001073	-50.198006
0.001073	-50.201570
0.001073	-50.206030
