MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001100	-50.193510
0.001100	-50.195765
0.001100	-50.197540
0.001101	-50.198968
0.001101	-50.199928
0.001101	-50.200488
0.001101	-50.200529
0.001101	-50.199980
0.001101	-50.198822
0.001101	-50.196882
0.001101	-50.193991
0.001101	-50.190176
0.001101	-50.185514
0.001101	-50.180080
0.001101	-50.174010
0.001101	-50.167283
0.001101	-50.159774
0.001100	-50.151591
0.001100	-50.143086
0.001100	-50.134428
0.001100	-50.125527
0.001100	-50.116604
0.001099	-50.107792
0.001099	-50.098877
0.001099	-50.089793
0.001099	-50.080435
0.001099	-50.070705
0.001099	-50.060851
0.001099	-50.050989
0.001099	-50.041083
0.001099	-50.031166
0.001099	-50.021389
0.001099	-50.011908
0.001099	-50.003130
0.001099	-49.994877
0.001099	-49.987083
0.001099	-49.979835
0.001099	-49.973328
0.001099	-49.967750
0.001098	-49.963292
0.001098	-49.959644
0.001098	-49.956524
0.001098	-49.953878
0.001098	-49.951526
0.001098	-49.949311
0.001098	-49.947018
0.001098	-49.944588
0.001098	-49.942065
0.001098	-49.939393
0.001097	-49.936497
0.001097	-49.933410
Mean R	Std.Dev R
0.001101	2.677360E-6
Mean T	Std.Dev T
-50.016521	0.134143
Current Position 
69.925
R(V)	Theta
0.001091	-50.283950
0.001091	-50.289241
0.001091	-50.293242
0.001090	-50.296053
0.001090	-50.297387
0.001090	-50.297250
0.001089	-50.295759
0.001089	-50.293085
0.001089	-50.289569
0.001089	-50.285236
0.001088	-50.280102
0.001088	-50.274223
0.001088	-50.267895
0.001088	-50.261323
0.001088	-50.254487
0.001088	-50.247559
0.001088	-50.240744
0.001087	-50.234292
0.001087	-50.228252
0.001087	-50.222336
0.001087	-50.216395
0.001086	-50.210378
0.001086	-50.204186
0.001086	-50.197700
0.001085	-50.190912
0.001085	-50.183726
0.001085	-50.176275
0.001084	-50.168781
0.001084	-50.161124
0.001083	-50.153277
0.001082	-50.136489
0.001082	-50.136489
0.001082	-50.127572
0.001081	-50.109189
0.001081	-50.099672
0.001080	-50.090262
0.001080	-50.080987
0.001079	-50.071863
0.001079	-50.062877
0.001079	-50.054103
0.001078	-50.045415
0.001078	-50.036274
0.001078	-50.027156
0.001078	-50.018450
0.001078	-50.010022
0.001078	-50.001892
0.001078	-49.993262
0.001078	-49.984214
0.001078	-49.974853
0.001078	-49.965267
0.001079	-49.955334
0.001079	-49.945244
0.001080	-49.935373
0.001080	-49.925662
0.001080	-49.916164
0.001081	-49.907402
0.001081	-49.899941
0.001082	-49.894011
0.001083	-49.889321
0.001083	-49.885557
0.001083	-49.882715
0.001084	-49.880830
0.001084	-49.879715
0.001085	-49.879072
0.001085	-49.879037
0.001086	-49.879606
0.001086	-49.880935
0.001086	-49.883312
0.001087	-49.886498
0.001087	-49.890660
0.001087	-49.896014
0.001087	-49.902704
0.001088	-49.910668
0.001088	-49.919642
0.001088	-49.929586
0.001088	-49.940273
0.001088	-49.951230
0.001088	-49.962372
0.001088	-49.974152
0.001088	-49.986749
0.001088	-50.000014
0.001088	-50.013781
0.001088	-50.027917
0.001088	-50.042278
0.001087	-50.056773
0.001087	-50.071244
0.001086	-50.085697
0.001086	-50.100271
0.001085	-50.114778
0.001085	-50.129336
0.001084	-50.144166
0.001084	-50.159438
0.001083	-50.174464
0.001082	-50.189533
0.001082	-50.204472
0.001081	-50.218937
0.001081	-50.232969
0.001080	-50.246480
0.001079	-50.259379
0.001079	-50.271728
Mean R	Std.Dev R
0.001084	3.886781E-6
Mean T	Std.Dev T
-50.084145	0.142833
Current Position 
69.910
R(V)	Theta
0.001062	-50.164110
0.001062	-50.150451
0.001062	-50.136898
0.001063	-50.123607
0.001063	-50.110612
0.001063	-50.097730
0.001063	-50.084900
0.001064	-50.072154
0.001064	-50.059344
0.001064	-50.046276
0.001064	-50.033310
0.001064	-50.020495
0.001064	-50.007705
0.001064	-49.994861
0.001064	-49.982412
0.001064	-49.970715
0.001064	-49.959687
0.001064	-49.949260
0.001064	-49.939845
0.001064	-49.931728
0.001064	-49.924670
0.001064	-49.918747
0.001063	-49.913819
0.001063	-49.909652
0.001063	-49.906119
0.001063	-49.903245
0.001063	-49.901103
0.001063	-49.899425
0.001063	-49.898322
0.001063	-49.897835
0.001063	-49.897714
0.001063	-49.898058
0.001063	-49.898971
0.001064	-49.900398
0.001064	-49.902345
0.001064	-49.904815
0.001065	-49.908033
0.001065	-49.912360
0.001065	-49.917597
0.001066	-49.923615
0.001066	-49.930256
0.001067	-49.937476
0.001067	-49.945152
0.001068	-49.953035
0.001068	-49.961189
0.001069	-49.969234
0.001069	-49.977422
0.001070	-49.985948
0.001070	-49.994889
0.001071	-50.004275
0.001071	-50.014002
0.001072	-50.023813
0.001072	-50.033713
0.001073	-50.043411
0.001074	-50.052928
0.001074	-50.062142
0.001075	-50.070935
0.001075	-50.079144
0.001076	-50.086819
0.001076	-50.093828
0.001076	-50.100202
0.001077	-50.106020
0.001077	-50.111597
0.001077	-50.117257
0.001077	-50.123206
0.001077	-50.129405
0.001077	-50.142241
0.001077	-50.149112
0.001077	-50.149112
0.001077	-50.164026
0.001076	-50.171970
0.001076	-50.171970
0.001076	-50.188212
0.001076	-50.195947
0.001076	-50.195947
0.001075	-50.209434
0.001075	-50.215226
0.001075	-50.215226
0.001075	-50.225193
0.001074	-50.229195
0.001074	-50.229195
0.001074	-50.234799
0.001073	-50.236355
0.001073	-50.237137
0.001073	-50.237214
0.001072	-50.236447
0.001072	-50.234853
0.001071	-50.232361
0.001071	-50.228799
0.001071	-50.224232
0.001071	-50.218731
0.001070	-50.212498
0.001070	-50.205653
0.001070	-50.198378
0.001069	-50.190916
0.001069	-50.183166
0.001069	-50.175173
0.001069	-50.166939
0.001069	-50.158467
0.001069	-50.150018
Mean R	Std.Dev R
0.001069	5.173807E-6
Mean T	Std.Dev T
-50.066944	0.118814
Current Position 
69.895
R(V)	Theta
0.001062	-49.914898
0.001062	-49.916317
0.001063	-49.917642
0.001063	-49.918832
0.001063	-49.919970
0.001063	-49.921115
0.001063	-49.922164
0.001063	-49.923328
0.001063	-49.924893
0.001064	-49.927123
0.001064	-49.930114
0.001064	-49.933681
0.001064	-49.937610
0.001064	-49.941881
0.001065	-49.946484
0.001065	-49.951550
0.001065	-49.957330
0.001065	-49.964022
0.001065	-49.971690
0.001065	-49.980078
0.001065	-49.988792
0.001065	-49.997786
0.001065	-50.007050
0.001065	-50.016297
0.001065	-50.025074
0.001066	-50.033217
0.001066	-50.040711
0.001066	-50.047887
0.001066	-50.054771
0.001066	-50.061227
0.001066	-50.067299
0.001066	-50.072985
0.001067	-50.078607
0.001067	-50.084110
0.001067	-50.089569
0.001067	-50.094917
0.001068	-50.100128
